plate_rank,plate_code,plate_name,plate_strength,group,stock_rank,stock_code,stock_name,board_label,reason_tags,change_percent,industry
1,801807,算力,16745.0,limit_up,4,300798,锦鸡股份,首板,算力租赁、算力,20.04,算力
1,801807,算力,16745.0,limit_up,8,688227,品高股份,首板,算力调度、算力,20.0,算力
1,801807,算力,16745.0,strong,1,301666,N大普微,,存储、算力,430.71,
1,801807,算力,16745.0,strong,4,300798,锦鸡股份,首板,算力租赁、算力,20.04,算力
1,801807,算力,16745.0,strong,8,688227,品高股份,首板,算力调度、算力,20.0,算力
1,801807,算力,16745.0,strong,13,300290,荣科科技,,算力、数字经济,15.02,算力
1,801807,算力,16745.0,strong,21,688159,有方科技,,算力租赁、算力,11.85,算力
1,801807,算力,16745.0,strong,22,300270,中威电子,,储能、算力,11.71,储能
1,801807,算力,16745.0,strong,23,301123,奕东电子,,液冷、算力,11.64,算力
2,801004,锂电池,6147.0,limit_up,7,301148,嘉戎技术,首板,环保、锂电池,20.0,锂电池
2,801004,锂电池,6147.0,strong,7,301148,嘉戎技术,首板,环保、锂电池,20.0,锂电池
2,801004,锂电池,6147.0,strong,14,300587,天铁科技,,锂电池、轨道交通,14.04,锂电池
3,801571,一季报增长,5695.0,strong,2,603293,N埃泰克,,智能驾驶、一季报增长,112.06,
4,801159,机器人概念,4400.0,limit_up,5,301603,乔锋智能,首板,印制电路板、通信,20.0,机器人概念
4,801159,机器人概念,4400.0,strong,5,301603,乔锋智能,首板,印制电路板、通信,20.0,机器人概念
4,801159,机器人概念,4400.0,strong,20,300853,申昊科技,,机器人概念、神经网络,11.88,机器人概念
5,801235,化工,3742.0,limit_up,6,300905,宝丽迪,首板,化工、芯片,20.0,化工
5,801235,化工,3742.0,strong,6,300905,宝丽迪,首板,化工、芯片,20.0,化工
6,801001,芯片,3251.0,limit_up,6,300905,宝丽迪,首板,化工、芯片,20.0,化工
6,801001,芯片,3251.0,strong,6,300905,宝丽迪,首板,化工、芯片,20.0,化工
6,801001,芯片,3251.0,strong,15,300938,信测标准,,存储、小米机器人,12.38,芯片
7,801880,燃气轮机,3189.0,strong,17,301548,崇德科技,,燃气轮机、智能电网,12.18,燃气轮机
10,801660,通信,2667.0,limit_up,5,301603,乔锋智能,首板,印制电路板、通信,20.0,机器人概念
10,801660,通信,2667.0,strong,5,301603,乔锋智能,首板,印制电路板、通信,20.0,机器人概念
10,801660,通信,2667.0,strong,12,301282,金禄电子,,CPO/MPO、通信,15.06,通信
10,801660,通信,2667.0,strong,19,300936,中英科技,,覆铜板、通信,11.93,通信
11,801787,实控人变更,2152.0,limit_up,9,300736,百邦科技,首板,实控人变更、消费电子,19.98,实控人变更
11,801787,实控人变更,2152.0,strong,9,300736,百邦科技,首板,实控人变更、消费电子,19.98,实控人变更
13,801178,储能,2034.0,strong,22,300270,中威电子,,储能、算力,11.71,储能
14,801314,ST板块,1965.0,limit_up,10,688287,*ST观典,3连板,低空经济、军工,19.9,ST板块
14,801314,ST板块,1965.0,strong,10,688287,*ST观典,3连板,低空经济、军工,19.9,ST板块
15,803023,AI应用,1788.0,strong,25,688500,慧辰股份,,AI应用、算力租赁,11.56,AI应用
15,803023,AI应用,1788.0,strong,26,300352,北信源,,OpenClaw、AI应用,11.41,AI应用
17,801070,光伏,1490.0,strong,18,301030,仕净科技,,光伏、环保,12.09,光伏
18,801346,智能电网,1306.0,strong,17,301548,崇德科技,,燃气轮机、智能电网,12.18,燃气轮机
22,801085,人工智能,1109.0,strong,11,301382,蜂助手,,DeepSeek、人工智能,15.69,人工智能
24,801031,文化传媒,1004.0,limit_up,3,300027,华谊兄弟,首板,影视院线、文化传媒,20.11,文化传媒
24,801031,文化传媒,1004.0,strong,3,300027,华谊兄弟,首板,影视院线、文化传媒,20.11,文化传媒
30,801248,智能驾驶,656.0,strong,2,603293,N埃泰克,,智能驾驶、一季报增长,112.06,
31,801062,军工,631.0,limit_up,10,688287,*ST观典,3连板,低空经济、军工,19.9,ST板块
31,801062,军工,631.0,strong,10,688287,*ST观典,3连板,低空经济、军工,19.9,ST板块
37,801052,环保,489.0,limit_up,7,301148,嘉戎技术,首板,环保、锂电池,20.0,锂电池
37,801052,环保,489.0,strong,7,301148,嘉戎技术,首板,环保、锂电池,20.0,锂电池
37,801052,环保,489.0,strong,18,301030,仕净科技,,光伏、环保,12.09,光伏
39,801328,消费电子,424.0,limit_up,9,300736,百邦科技,首板,实控人变更、消费电子,19.98,实控人变更
39,801328,消费电子,424.0,strong,9,300736,百邦科技,首板,实控人变更、消费电子,19.98,实控人变更
39,801328,消费电子,424.0,strong,16,301086,鸿富瀚,,苹果概念、消费电子,12.31,消费电子
40,801829,低空经济,423.0,limit_up,10,688287,*ST观典,3连板,低空经济、军工,19.9,ST板块
40,801829,低空经济,423.0,strong,10,688287,*ST观典,3连板,低空经济、军工,19.9,ST板块
41,801871,汽车充电,420.0,strong,24,300351,永贵电器,,华为超充、汽车充电,11.56,汽车充电
