rank,code,name,concepts,latest_price,change_percent,amount,turnover_rate,board_label,industry,raw_columns
1,688287,*ST观典,低空经济、军工,1.96,20.25,47534689,13.71,2连板,ST板块,63
2,688805,健信超导,次新股、医疗器械,56.92,20.01,517692320,29.9,首板,次新股,63
3,301189,奥尼电子,车路云、消费电子,86.39,20,1139401129,32.62,2连板,算力,63
4,301408,华人健康,AI医疗、AI应用,20.78,19.98,1272624495,38.66,首板,医药,63
5,300097,智云股份,芯片、ST摘帽,9.83,17.44,529054462,23.78,,ST摘帽,63
6,301017,漱玉平民,医美、医药,16.28,15.79,579013878,25.37,,医药,63
7,301248,杰创智能,通感一体化、数字经济,57.75,14.52,909009118,16.7,,算力,63
8,688253,英诺特,流感、医药,43.1,14.11,262364381,9.02,,医药,63
9,300051,琏升科技,异质结电池、光伏,16.05,13.27,996379920,21.61,,光伏,63
10,688603,天承科技,玻璃基板、通信,98.56,13.12,1008774701,22.2,,通信,63
11,688618,三旺通信,光纤概念、通信,39.37,12.61,446102346,27.67,,通信,63
12,301631,壹连科技,固态电池、锂电池,102.99,12.19,563643275,18.37,,并购重组,63
13,300798,锦鸡股份,算力租赁、分散染料,11.18,11.58,806726042,25.41,,化工,63
14,300444,双杰电气,变压器、智能电网,15.37,10.97,2034934100,23.96,,智能电网,63
15,301232,飞沃科技,商业航天、年报增长,216.12,10.81,2523457569,27.98,,商业航天,63
16,301055,张小泉,家电、AI应用,33,10.22,376158287,17.75,,AI应用,63
17,000785,居然智家,超跌、AI智能体,2.7,10.2,349311281,5.96,首板,智能家居,63
18,002124,天邦食品,猪肉、农业,3.14,10.18,1211353414,20.61,3连板,农业,63
19,002589,瑞康医药,医药零售、新冠药概念,3.59,10.12,331610955,8.41,首板,医药,63
20,600572,康恩贝,创新药、病毒防治,4.8,10.09,966306006,12.05,首板,医药,63
21,000788,北大医药,医药、新冠药概念,6.77,10.08,741744970,28.85,首板,医药,63
22,002798,帝欧水华,装修家具、地产链,6.67,10.07,132362091,5.44,首板,智能家居,63
23,605388,均瑶健康,食品饮料、保健品,7.33,10.06,278189185,20.1,首板,保健品,63
24,600267,海正药业,创新药、医药零售,11.39,10.05,548437451,6.62,首板,医药,63
25,001896,豫能控股,电力、智能电网,16.57,10.03,4219852282,45.74,首板,电力,63
26,001208,华菱线缆,电气设备、碳中和,21.4,10.03,926643868,16.65,首板,商业航天,63
