rank,plate_code,plate_name,strength,speed,change_percent,amount,main_net_amount,main_buy_amount,main_sell_amount,volume_ratio,float_market_value,large_order_net_amount,raw_columns
1,801807,算力,16745,2.384,0.659,842988298724,13137561494,93705977142,-80568415648,1.135,22005970401760,6068165995,19
2,801004,锂电池,6147,1.953,0.225,464654209711,8627394678,77512897805,-68885503127,1.019,14698649200384,4539266790,19
3,801571,一季报增长,5691,2.621,0.158,282158346591,2048578980,20152823353,-18104244373,1.726,8443940011776,2234378798,19
4,801159,机器人概念,4400,1.739,0.635,559556705417,1100044244,27025006743,-25924962499,1.06,18947413990723,1391433300,19
5,801235,化工,3742,1.48,0.559,274436223423,113176594,26603671960,-26490495366,0.894,13671121752256,-169137716,19
6,801001,芯片,3251,1.679,0.386,794431923043,3855000898,151589756269,-147734755371,0.967,22862051829056,2104151716,19
7,801880,燃气轮机,3189,2.645,0.015,36494743515,1917805651,6788886247,-4871080596,1.09,1007004091456,1129552876,19
8,801250,并购重组,2940,1.579,0.369,333766174525,1120982317,8632636693,-7511654376,1.016,13151585194048,897807134,19
9,801088,有色金属,2739,2.56,0.383,179955077973,6766680382,38488583512,-31721903130,1.046,6483527950081,3694452060,19
10,801660,通信,2667,1.998,1.048,614074099113,6683109228,146740471437,-140057362209,0.942,15845933665024,5293454722,19
11,801787,实控人变更,2152,1.858,0.286,55139733461,166179734,1381048183,-1214868449,1.084,1710611668032,80755279,19
12,801574,年报增长,2132,1.544,0.432,1176012697864,2470908067,14614030321,-12143122254,1.031,54504514001728,1878478840,19
13,801178,储能,2034,1.566,0.643,502436166127,1275153600,32700427551,-31425273951,0.972,15561407055500,996090958,19
14,801314,ST板块,1965,0.656,0.502,15543075498,59872422,1682707675,-1622835253,1.091,736734596937,42408790,19
15,803023,AI应用,1788,2.186,0.324,293153616530,2448714593,25591645278,-23142930685,1.085,9403009053449,645682236,19
16,801199,汽车零部件,1652,1.746,0.52,606208101169,2705600618,25677039813,-22971439195,1.046,18540949549257,1104624082,19
17,801070,光伏,1490,1.539,0.464,403701503428,196420446,33505092292,-33308671846,0.97,11723136805082,744834128,19
18,801346,智能电网,1306,1.423,1.06,324690276259,203639131,33060868459,-32857229328,1.054,10525265216844,592889368,19
19,801012,钢铁,1192,2.211,0.301,19674385139,529119372,4388631943,-3859512571,0.815,1068203823834,258567452,19
20,801330,旅游,1191,1.913,0.096,30640972869,263666385,2389116904,-2125450519,1.03,1233810664821,180901914,19
21,801069,家电,1131,1.489,0.366,69842734895,-351840253,2614592137,-2966432390,1.119,3156226006482,-91682484,19
22,801085,人工智能,1109,1.897,0.468,940351495963,4932282664,71567714750,-66635432086,1.042,29783871251520,1655634769,19
23,801220,食品饮料,1106,1.146,0.317,37850550366,105405035,2986525180,-2881120145,1.123,2482131598314,26400081,19
24,801031,文化传媒,1004,2.331,0.361,116701017604,928800061,9671767559,-8742967498,1.105,2548241674926,232809297,19
25,801843,商业航天,904,1.487,0.43,349787536680,-382682782,13774913252,-14157596034,1.015,9615037923820,-80700697,19
26,801973,保健品,846,0.71,0.026,30543078124,140573053,1923633491,-1783060438,1.34,1430969929800,20323389,19
27,801764,西藏自治区,677,2.152,0,10769896135,354081209,1225385738,-871304529,1.206,293276511119,200395671,19
28,801048,黄金,675,1.852,0.067,59835463012,911537812,8981381900,-8069844088,0.992,3109162252972,327242610,19
29,801773,热力,674,1.746,0.015,7788635568,28834987,175182102,-146347115,0.955,179296317440,13599461,19
30,801248,智能驾驶,656,1.801,0.396,369426473146,1452018104,8699831353,-7247813249,1.042,11598170824064,101752454,19
31,801062,军工,631,1.601,0.441,382552082277,-2552277171,23236215961,-25788493132,1.043,10001735964368,-750767121,19
32,801273,股权转让,630,1.523,0.396,418927240166,436826776,6726650153,-6289823377,1.014,13771164818674,448367740,19
33,801184,包装印刷,626,1.488,0.288,21318609971,-296548116,2685373062,-2981921178,1.009,467766278832,-152454475,19
34,801115,海南,616,1.325,0.013,24603279310,-61852024,500863253,-562715277,0.945,831181143757,11068043,19
35,801074,核电,614,1.388,0.235,223944075088,1611344113,13732297758,-12120953645,0.991,7317057577818,1245939835,19
36,801080,煤炭,607,1.079,0.137,19699665215,-328121498,3215672379,-3543793877,0.88,2361414455316,-117154965,19
