materialName,limitUpStocks,materialSeq,date,timestamp,materialRate,popularValue,label,humanDragon,middleTroops,dayDragon
题材ID 42,,42,2026-04-17,1776355200000,6.09,0.0,,长光华芯(sh688048),中际旭创(sz300308),剑桥科技(sh603083)
题材ID 199,,199,2026-04-17,1776355200000,5.57,0.0,,长光华芯(sh688048),中际旭创(sz300308),光迅科技(sz002281)
题材ID 38,,38,2026-04-17,1776355200000,5.36,0.0,,剑桥科技(sh603083),中际旭创(sz300308),天通股份(sh600330)
题材ID 250,,250,2026-04-17,1776355200000,4.45,0.0,,云南锗业(sz002428),云南锗业(sz002428),株冶集团(sh600961)
题材ID 185,,185,2026-04-17,1776355200000,4.09,0.0,,帝尔激光(sz300776),爱旭股份(sh600732),
题材ID 218,,218,2026-04-17,1776355200000,3.88,0.0,,沃格光电(sh603773),兴森科技(sz002436),
题材ID 271,,271,2026-04-17,1776355200000,3.51,0.0,,博杰股份(sz002975),光迅科技(sz002281),光迅科技(sz002281)
题材ID 157,,157,2026-04-17,1776355200000,3.17,0.0,,长光华芯(sh688048),天孚通信(sz300394),
题材ID 208,,208,2026-04-17,1776355200000,2.98,0.0,,欧科亿(sh688308),昊志机电(sz300503),博杰股份(sz002975)
题材ID 33,,33,2026-04-17,1776355200000,2.86,0.0,,赛微电子(sz300456),腾景科技(sh688195),
题材ID 228,,228,2026-04-17,1776355200000,2.49,0.0,,唯特偶(sz301319),长川科技(sz300604),快克智能(sh603203)
题材ID 192,,192,2026-04-17,1776355200000,2.48,0.0,,沃格光电(sh603773),鼎龙股份(sz300054),
反无人机,,183,2026-04-17,1776355200000,2.46,0.0,,锐科激光(sz300747),航天长峰(sh600855),
题材ID 239,,239,2026-04-17,1776355200000,2.46,0.0,,沃格光电(sh603773),XD璞泰来(sh603659),
题材ID 113,,113,2026-04-17,1776355200000,2.24,0.0,,德龙激光(sh688170),大族激光(sz002008),
题材ID 214,,214,2026-04-17,1776355200000,2.24,0.0,,英维克(sz002837),中富电路(sz300814),良信股份(sz002706)
题材ID 197,,197,2026-04-17,1776355200000,2.18,0.0,,禾望电气(sh603063),亨通光电(sh600487),大金重工(sz002487)
题材ID 19,,19,2026-04-17,1776355200000,2.05,0.0,,开勒股份(sz301070),赛微电子(sz300456),光迅科技(sz002281)
题材ID 115,,115,2026-04-17,1776355200000,2.03,0.0,,赛微电子(sz300456),赛微电子(sz300456),
IC载板,,170,2026-04-17,1776355200000,2.03,0.0,,兴森科技(sz002436),,
题材ID 47,,47,2026-04-17,1776355200000,1.97,0.0,,华正新材(sh603186),硕贝德(sz300322),
